,Run,precision,recall,f1-score,support
Moderada,24,0.0,0.0,0.0,3.0
Muito leve,24,0.7777777777777778,0.6363636363636364,0.7,33.0
Muito severo,24,0.0,0.0,0.0,1.0
Sadia,24,0.7714285714285715,0.9,0.8307692307692308,30.0
Severo,24,0.625,0.9090909090909091,0.7407407407407407,11.0
accuracy,24,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,24,0.48416259666259664,0.5248597081930415,0.49808185059757387,105.0
weighted avg,24,0.7182408860980289,0.7333333333333333,0.7193306251167887,105.0
Leve,25,0.7142857142857143,0.5555555555555556,0.625,27.0
Moderada,25,0.0,0.0,0.0,3.0
Muito leve,25,0.6388888888888888,0.696969696969697,0.6666666666666666,33.0
Muito severo,25,0.0,0.0,0.0,1.0
Sadia,25,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Severo,25,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,25,0.6952380952380952,0.6952380952380952,0.6952380952380952,0.6952380952380952
macro avg,25,0.4722268472268472,0.4895622895622896,0.47784391534391535,105.0
weighted avg,25,0.6821028178171036,0.6952380952380952,0.6846371882086167,105.0
Leve,26,0.8235294117647058,0.5185185185185185,0.6363636363636364,27.0
Moderada,26,0.0,0.0,0.0,3.0
Muito leve,26,0.6222222222222222,0.8484848484848485,0.717948717948718,33.0
Muito severo,26,0.0,0.0,0.0,1.0
Sadia,26,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,26,0.75,0.8181818181818182,0.782608695652174,11.0
accuracy,26,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,26,0.5048474945533769,0.5030864197530864,0.49504239721631027,105.0
weighted avg,26,0.7239869281045751,0.7238095238095238,0.7093602050123788,105.0
Leve,27,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0
Moderada,27,0.0,0.0,0.0,3.0
Muito leve,27,0.6666666666666666,0.7878787878787878,0.7222222222222222,33.0
Muito severo,27,0.0,0.0,0.0,1.0
Sadia,27,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Severo,27,0.8,0.7272727272727273,0.7619047619047619,11.0
accuracy,27,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,27,0.5054065559812685,0.5086980920314254,0.5058813858248886,105.0
weighted avg,27,0.720591133004926,0.7428571428571429,0.7298858526461431,105.0
Leve,28,0.8,0.7407407407407407,0.7692307692307693,27.0
Moderada,28,0.0,0.0,0.0,3.0
Muito leve,28,0.7058823529411765,0.7272727272727273,0.7164179104477612,33.0
Muito severo,28,0.0,0.0,0.0,1.0
Sadia,28,0.78125,0.8333333333333334,0.8064516129032258,30.0
Severo,28,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,28,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429
macro avg,28,0.4965733408748115,0.5199214365881033,0.5070167154302927,105.0
weighted avg,28,0.7233047834518423,0.7428571428571429,0.7319482876295587,105.0
Leve,29,0.7352941176470589,0.9259259259259259,0.819672131147541,27.0
Moderada,29,0.0,0.0,0.0,3.0
Muito leve,29,0.8076923076923077,0.6363636363636364,0.711864406779661,33.0
Muito severo,29,0.0,0.0,0.0,1.0
Sadia,29,0.7941176470588235,0.9,0.84375,30.0
Severo,29,0.8,0.7272727272727273,0.7619047619047619,11.0
accuracy,29,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
macro avg,29,0.5228506787330317,0.5315937149270482,0.5228652166386606,105.0
weighted avg,29,0.7536220642102993,0.7714285714285715,0.7553916699587124,105.0
Leve,30,0.6896551724137931,0.7407407407407407,0.7142857142857143,27.0
Moderada,30,0.5,0.3333333333333333,0.4,3.0
Muito leve,30,0.7333333333333333,0.6666666666666666,0.6984126984126984,33.0
Muito severo,30,0.0,0.0,0.0,1.0
Sadia,30,0.8181818181818182,0.9,0.8571428571428571,30.0
Severo,30,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
accuracy,30,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,30,0.5629223267154302,0.5461840628507294,0.551034151034151,105.0
weighted avg,30,0.7225347066726377,0.7333333333333333,0.7261678004535147,105.0
Leve,31,0.7307692307692307,0.7037037037037037,0.7169811320754716,27.0
Moderada,31,0.25,0.3333333333333333,0.2857142857142857,3.0
Muito leve,31,0.7096774193548387,0.6666666666666666,0.6875,33.0
Muito severo,31,0.0,0.0,0.0,1.0
Sadia,31,0.7941176470588235,0.9,0.84375,30.0
Severo,31,0.8,0.7272727272727273,0.7619047619047619,11.0
accuracy,31,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,31,0.5474273828638155,0.5551627384960719,0.5493083632824199,105.0
weighted avg,31,0.7287966998213677,0.7333333333333333,0.7294912933726949,105.0
Leve,32,0.75,0.7777777777777778,0.7636363636363637,27.0
Moderada,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Muito leve,32,0.6842105263157895,0.7878787878787878,0.7323943661971831,33.0
Muito severo,32,0.0,0.0,0.0,1.0
Sadia,32,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
